node1,node2,SubGroupCode
SOS008L02P,SOS005L04P,SOS
SOS008L02P,SOS003L04P,SOS
SOS008L02P,SOS002L09P,SOS
SOS008L02P,SOS001L12P,SOS
SOS008L02P,SOS500M24P,SOS
SOS008L02P,SOS250M48P,SOS
SOS005L04P,SOS003L04P,SOS
SOS005L04P,SOS002L09P,SOS
SOS005L04P,SOS001L12P,SOS
SOS005L04P,SOS500M24P,SOS
SOS005L04P,SOS250M48P,SOS
SOS003L04P,SOS002L09P,SOS
SOS003L04P,SOS001L12P,SOS
SOS003L04P,SOS500M24P,SOS
SOS003L04P,SOS250M48P,SOS
SOS002L09P,SOS001L12P,SOS
SOS002L09P,SOS500M24P,SOS
SOS002L09P,SOS250M48P,SOS
SOS001L12P,SOS500M24P,SOS
SOS001L12P,SOS250M48P,SOS
SOS500M24P,SOS250M48P,SOS
POV005L04P,POV002L09P,POV
POV005L04P,POV001L24P,POV
POV005L04P,POV500M24P,POV
POV002L09P,POV001L24P,POV
POV002L09P,POV500M24P,POV
POV001L24P,POV500M24P,POV
POP001L12P,POP015K,POP
POP001L12P,POP005L04P,POP
POP001L12P,POP002L09P,POP
POP001L12P,POP500M24P,POP
POP015K,POP005L04P,POP
POP015K,POP002L09P,POP
POP015K,POP001L12P,POP
POP015K,POP500M24P,POP
POP005L04P,POP002L09P,POP
POP005L04P,POP001L12P,POP
POP005L04P,POP500M24P,POP
POP002L09P,POP001L12P,POP
POP002L09P,POP500M24P,POP
POP001L12P,POP500M24P,POP
SO0005L04P,SO0002L09P,SO
SO0005L04P,SO0001L12P,SO
SO0005L04P,SO0500M24P,SO
SO0002L09P,SO0001L12P,SO
SO0002L09P,SO0500M24P,SO
SO0001L12P,SO0500M24P,SO
ATN02K12P,ATN01K24P,ATN
MAR02K12P,MAR01K24P,MAR
ATWWP002K12P,ATWWP001K24P,ATWWP
SE500G24P,SE200G24P,SE
EEA500G12P,EEA200G24P,EEA
