Node,Group,Sub-Group
SOS008L02P,S,SOS
SOS005L04P,S,SOS
SOS003L04P,S,SOS
SOS002L09P,S,SOS
SOS001L12P,S,SOS
SOS500M24P,S,SOS
SOS250M48P,S,SOS
SOP001L12P,S,SOP
POV005L04P,P,POV
POV002L09P,P,POV
POV001L24P,P,POV
POV500M24P,P,POV
POP001L12P,P,POP
POP015K,P,POP
SO0005L04P,S,SO
SO0002L09P,S,SO
SO0001L12P,S,SO
SO0500M24P,S,SO
POP005L04P,P,POP
POP002L09P,P,POP
POP001L12P,P,POP
POP500M24P,P,POP
POPF01L12P,P,POPF
AT5X5K,A,AT
ATN02K12P,A,ATN
ATN01K24P,A,ATN
MAR02K12P,M,MAR
MAR01K24P,M,MAR
ATWWP002K12P,A,ATWWP
ATWWP001K24P,A,ATWWP
MASR025K,M,MASR
MAHS025K,M,MAHS
SE500G24P,S,SE
SE200G24P,S,SE
ATPPCH5X5K,A,ATPPCH
ATPA1K24P,A,ATPA
MAPA1K24P,M,MAPA
MAP1K25P,M,MAP
MAC1K25P,M,MAC
EEA500G12P,E,EEA
EEA200G24P,E,EEA
