Node,NodeIndex
SOS008L02P,0
SOS005L04P,1
SOS003L04P,2
SOS002L09P,3
SOS001L12P,4
SOS500M24P,5
SOS250M48P,6
SOP001L12P,7
POV005L04P,8
POV002L09P,9
POV001L24P,10
POV500M24P,11
POP001L12P,12
POP015K,13
SO0005L04P,14
SO0002L09P,15
SO0001L12P,16
SO0500M24P,17
POP005L04P,18
POP002L09P,19
POP001L12P,12
POP500M24P,20
POPF01L12P,21
AT5X5K,22
ATN02K12P,23
ATN01K24P,24
MAR02K12P,25
MAR01K24P,26
ATWWP002K12P,27
ATWWP001K24P,28
MASR025K,29
MAHS025K,30
SE500G24P,31
SE200G24P,32
ATPPCH5X5K,33
ATPA1K24P,34
MAPA1K24P,35
MAP1K25P,36
MAC1K25P,37
EEA500G12P,38
EEA200G24P,39
